site_category,model,cpu,default_ram,default_storage,min_price_inr,max_price_inr,mrp_inr,n_variants,review_count,url
Heavy Work,"Jupiter (Intel Core Ultra 5 135H, 14th Gen)",Intel® Core Ultra 5 135H,Dual DDR5 SO-DIMM — up to 64 GB,1 × M.2 2280 SATA/NVMe PCIe 4.0 (up to 4 TB),47999,104999,69999,3,11,https://www.electroniksindia.com/products/jupiter-by-skullsaints-intel-core-ultra-5-135h-14-cores-18-threads-arc-graphics-ddr5-pcie-4-0-wi-fi-6-bluetooth-5-2-ai-optimized-mini-pc
Extreme Power,CoreX Pro Max (AMD Ryzen 7 7840HS),AMD Ryzen™ 7 7840HS (Zen 4),32GB LPDDR5 6400MHz (Non-expandable),2 × M.2 2280 NVMe (Supports up to 8TB total),84999,99500,129000,5,42,https://www.electroniksindia.com/products/corex-pro-max-by-skullsaints-amd-ryzen-7-7840hs-radeon-780m-graphics-32gb-lpddr5-6400mhz-ram-upto-8tb-storage-usb4-8k-support-2-5g-lan-wi-fi-6-bt5-2-and-quad-display-support
Extreme Power,Fury (AMD Ryzen 7 7840HS),AMD Ryzen™ 7 7840HS,Dual DDR5 SO-DIMM 5600 MHz — up to 256 GB,2 × M.2 2280 NVMe (up to 4 TB each),49999,99500,129000,7,15,https://www.electroniksindia.com/products/fury-by-skullsaints-compact-mini-pc-with-amd-ryzen-7840hs-radeon-780m-graphics-usb4-8k-support-dual-2-5g-lan-and-wi-fi-6-bt5-2-triple-display
Extreme Power,"Fury-X (AMD Ryzen 7 7840HS, OCuLink)",AMD Ryzen™ 7 7840HS (Zen4),Dual DDR5 SO-DIMM 5600 MHz — up to 64 GB,2 × M.2 2280 NVMe PCIe 4.0 (up to 4 TB per slot),46999,94999,129000,5,1,https://www.electroniksindia.com/products/fury-x-by-skullsaints-amd-ryzen-7840hs-radeon-780m-graphics-usb4-8k-support-dual-2-5g-lan-and-wi-fi-6e-bt5-3-triple-display-with-oculink-port
Extreme Power,CoreX Pro (AMD Ryzen 7 6800H),AMD Ryzen™ 7 6800H,24 GB LPDDR5 6400 MHz (non-expandable),2 × M.2 (2242 + 2280) SATA & NVMe (up to 4 TB),41999,61999,39999,20,42,https://www.electroniksindia.com/products/corex-pro-by-skullsaints-powered-by-ryzen-7-6800h-24gb-lpddr5-6400mhz-usb-4-0-2-5gbps-lan-wi-fi-6e-bt-5-3-triple-display-ai-mini-pc
Extreme Power,"Jupiter (Intel Core Ultra 7 155H, 14th Gen)",Intel® Core Ultra 7 155H,Dual DDR5 SO-DIMM — up to 64 GB,1 × M.2 2280 SATA/NVMe PCIe 4.0 (up to 4 TB),53999,107999,69999,7,11,https://www.electroniksindia.com/products/jupiter-by-skullsaints-intel-core-ultra-7-155h-16-cores-22-threads-arc-graphics-ddr5-pcie-4-0-wi-fi-6-bluetooth-5-2-ai-optimized-high-performance-mini-pc
NAS Mini PC,Nebula NAS (Intel N150 Twin Lake),Intel Alder-N Lake N150,12 GB LPDDR5 (non-expandable),1 × M.2 2280 NVMe & SATA + 3 × M.2 NVMe (PCIe 3.0) — up to 16 TB,27999,27999,34999,1,3,https://www.electroniksindia.com/products/nebula-by-skullsaints-mini-pc-nas-hybrid-with-intel-n150-12gb-lpddr5-quad-m-2-slots-up-to-16tb-dual-2-5g-lan-wifi-6-usb3-2-hdmi-4k-type-c-pd
Industrial Fanless,Onyx Industrial (Intel Celeron J6412),"Intel Celeron J6412 (4C / 4T, up to 2.6 GHz)",2 × DDR4 SO-DIMM 2666 MHz 8 GB Included (Up to 32 GB),1 × M.2 NVMe SSD 256 GB Included (Up to 2 TB),19999,39999,39999,7,13,https://www.electroniksindia.com/products/skullsaints-onyx-intel-j6412
Legacy / Older Listings,Rudra (Intel Alder Lake N100 / N5105) [legacy],,,,22999,22999,37999,3,101,https://www.electroniksindia.com/products/rudra-by-skullsaints-intel-12th-gen-alder-lake-processor-hdmi-4k-60hz-3-screen-display-dual-ethernet-cube-mini-pocket-pc
Legacy / Older Listings,Titan (AMD Ryzen 9 6900HX) [legacy],,,,44999,59999,129000,2,3,https://www.electroniksindia.com/products/titan-by-skullsaints-amd-ryzen-9-6900hx-8c-16t-upto-4-9ghz-ddr5-4800mhz-dual-m-2-ssd-wifi-6-bt-5-2-rgb-gaming-mini-pc
