site_category,model,cpu,ram_spec,storage_spec,configuration,price_inr,compare_at_price_inr,discount_pct,url,handle
Daily Tasks,Mist (AMD Ryzen 3 4300U),"AMD Ryzen™ 3 4300U (4C / 4T, 2.7 – 3.7 GHz, 15W)",Dual DDR4-3200 SO-DIMM — up to 32 GB,Dual Slots M.2 2280 NVMe/SATA (up to 4 TB) M.2 2242 NVMe/SATA (up to 2 TB),16GB DDR4 3200MHz / 256GB M.2 2280 + Win 11 Pro,30999,,,https://www.electroniksindia.com/products/mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc,mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc
Daily Tasks,Mist (AMD Ryzen 3 4300U),"AMD Ryzen™ 3 4300U (4C / 4T, 2.7 – 3.7 GHz, 15W)",Dual DDR4-3200 SO-DIMM — up to 32 GB,Dual Slots M.2 2280 NVMe/SATA (up to 4 TB) M.2 2242 NVMe/SATA (up to 2 TB),16GB DDR4 3200MHz / 512GB M.2 2280 + Win 11 Pro,35999,,,https://www.electroniksindia.com/products/mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc,mist-by-skullsaints-ryzen-3-4300u-ddr4-dual-channel-pcie-nvme-ssd-usb-3-2-gen2-usb-c-dp-pd-2-5gbps-lan-wi-fi-6-bt-5-3-4k-dual-display-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 0GB / 0GB,20999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 8GB DDR4 3200MHz / 128GB M.2 + Win 11 Pro,27999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 8GB DDR4 3200MHz / 256GB M.2 + Win 11 Pro,28999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 8GB DDR4 3200MHz / 512GB M.2 NVME + Win 11 Pro,31999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 8GB DDR4 3200MHz / 1TB M.2 NVME + Win 11 Pro,37999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 16GB DDR4 3200MHz / 128GB M.2 + Win 11 Pro,32499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 16GB DDR4 3200MHz / 256GB M.2 + Win 11 Pro,33499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 16GB DDR4 3200MHz / 512GB M.2 NVME + Win 11 Pro,36499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 16GB DDR4 3200MHz / 1TB M.2 NVME + Win 11 Pro,42499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 32GB DDR4 3200MHz (16*2) / 128GB M.2 + Win 11 Pro,41499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 32GB DDR4 3200MHz (16*2) / 256GB M.2 + Win 11 Pro,42499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 32GB DDR4 3200MHz (16*2) / 512GB M.2 NVME + Win 11 Pro,45499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Black / 32GB DDR4 3200MHz (16*2) / 1TB M.2 NVME + Win 11 Pro,51499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 0GB / 0GB,20999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 8GB DDR4 3200MHz / 128GB M.2 + Win 11 Pro,27999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 8GB DDR4 3200MHz / 256GB M.2 + Win 11 Pro,28999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 8GB DDR4 3200MHz / 512GB M.2 NVME + Win 11 Pro,31999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 8GB DDR4 3200MHz / 1TB M.2 NVME + Win 11 Pro,37999,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 16GB DDR4 3200MHz / 128GB M.2 + Win 11 Pro,32499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 16GB DDR4 3200MHz / 256GB M.2 + Win 11 Pro,33499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 16GB DDR4 3200MHz / 512GB M.2 NVME + Win 11 Pro,36499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 16GB DDR4 3200MHz / 1TB M.2 NVME + Win 11 Pro,42499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 32GB DDR4 3200MHz (16*2) / 128GB M.2 + Win 11 Pro,41499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 32GB DDR4 3200MHz (16*2) / 256GB M.2 + Win 11 Pro,42499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 32GB DDR4 3200MHz (16*2) / 512GB M.2 NVME + Win 11 Pro,45499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,CoreX (AMD Ryzen 5 4500U),AMD Ryzen™ 5 4500U,Dual DDR4 SO-DIMM — up to 64 GB,2 × M.2 (2242 + 2280) SATA & NVMe — up to 4 TB,Silver / 32GB DDR4 3200MHz (16*2) / 1TB M.2 NVME + Win 11 Pro,51499,,,https://www.electroniksindia.com/products/corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc,corex-by-skullsaints-powered-by-ryzen-5-4500u-wi-fi-6e-bt-5-3-triple-display-and-expandable-ram-storage-ai-mini-pc
Daily Tasks,Agni (Intel N150 Twin Lake),Intel Alder-N Lake N150,Single DDR4 — up to 32 GB,M.2 2280 NVMe + M.2 SATA — up to 8 TB,0GB / 0GB,18999,39999,53%,https://www.electroniksindia.com/products/agni-by-skullsaints-mini-pc-intel-twin-lake-n150-vibrant-lcd-screen-m-2-ssd-mini-tower-with-rgb-lights-wifi-6-4k-uhd-dual-lan-for-home-and-office,agni-by-skullsaints-mini-pc-intel-twin-lake-n150-vibrant-lcd-screen-m-2-ssd-mini-tower-with-rgb-lights-wifi-6-4k-uhd-dual-lan-for-home-and-office
Daily Tasks,Agni (Intel N150 Twin Lake),Intel Alder-N Lake N150,Single DDR4 — up to 32 GB,M.2 2280 NVMe + M.2 SATA — up to 8 TB,8GB DDR4 3200MHz / 128GB M.2 + Win 11 Pro,25999,39999,35%,https://www.electroniksindia.com/products/agni-by-skullsaints-mini-pc-intel-twin-lake-n150-vibrant-lcd-screen-m-2-ssd-mini-tower-with-rgb-lights-wifi-6-4k-uhd-dual-lan-for-home-and-office,agni-by-skullsaints-mini-pc-intel-twin-lake-n150-vibrant-lcd-screen-m-2-ssd-mini-tower-with-rgb-lights-wifi-6-4k-uhd-dual-lan-for-home-and-office
Daily Tasks,Agni (Intel N150 Twin Lake),Intel Alder-N Lake N150,Single DDR4 — up to 32 GB,M.2 2280 NVMe + M.2 SATA — up to 8 TB,8GB DDR4 3200MHz / 256GB M.2 + Win 11 Pro,27999,39999,30%,https://www.electroniksindia.com/products/agni-by-skullsaints-mini-pc-intel-twin-lake-n150-vibrant-lcd-screen-m-2-ssd-mini-tower-with-rgb-lights-wifi-6-4k-uhd-dual-lan-for-home-and-office,agni-by-skullsaints-mini-pc-intel-twin-lake-n150-vibrant-lcd-screen-m-2-ssd-mini-tower-with-rgb-lights-wifi-6-4k-uhd-dual-lan-for-home-and-office
